% Freq(Hz) h_c
7.9697723e-11 3.2777118e-14
1.5939545e-10 1.1611648e-14
2.3909317e-10 6.3416756e-15
3.1879089e-10 4.1383050e-15
3.9848861e-10 2.9789578e-15
4.7818634e-10 2.2828670e-15
5.5788406e-10 1.8273889e-15
6.3758178e-10 1.5107666e-15
7.1727951e-10 1.2805845e-15
7.9697723e-10 1.1073853e-15
8.7667495e-10 9.7347667e-16
9.5637267e-10 8.6766027e-16
1.0360704e-09 7.8254097e-16
1.1157681e-09 7.1306083e-16
1.1954658e-09 6.5565730e-16
1.2751636e-09 6.0775758e-16
1.3548613e-09 5.6746341e-16
1.4345590e-09 5.3334806e-16
1.5142567e-09 5.0432177e-16
1.5939545e-09 4.7954054e-16
1.6736522e-09 4.5834269e-16
1.7533499e-09 4.4020404e-16
1.8330476e-09 4.2470564e-16
1.9127453e-09 4.1151013e-16
1.9924431e-09 4.0034429e-16
2.0721408e-09 3.9098583e-16
2.1518385e-09 3.8325341e-16
2.2315362e-09 3.7699898e-16
2.3112340e-09 3.7210177e-16
2.3909317e-09 3.6846366e-16
2.4706294e-09 3.6600540e-16
2.5503271e-09 3.6466372e-16
2.6300249e-09 3.6438881e-16
2.7097226e-09 3.6514239e-16
2.7894203e-09 3.6689594e-16
2.8691180e-09 3.6962929e-16
2.9488157e-09 3.7332921e-16
3.0285135e-09 3.7798817e-16
3.1082112e-09 3.8360311e-16
3.1879089e-09 3.9017409e-16
3.2676066e-09 3.9770295e-16
3.3473044e-09 4.0619180e-16
3.4270021e-09 4.1564134e-16
3.5066998e-09 4.2604895e-16
3.5863975e-09 4.3740671e-16
3.6660953e-09 4.4969908e-16
3.7457930e-09 4.6290062e-16
3.8254907e-09 4.7697359e-16
3.9051884e-09 4.9186583e-16
3.9848861e-09 5.0750896e-16
4.0645839e-09 5.2381724e-16
4.1442816e-09 5.4068754e-16
4.2239793e-09 5.5800050e-16
4.3036770e-09 5.7562328e-16
4.3833748e-09 5.9341409e-16
4.4630725e-09 6.1122813e-16
4.5427702e-09 6.2892492e-16
4.6224679e-09 6.4637624e-16
4.7021656e-09 6.6347395e-16
4.7818634e-09 6.8013677e-16
4.8615611e-09 6.9631531e-16
4.9412588e-09 7.1199473e-16
5.0209565e-09 7.2719472e-16
5.1006543e-09 7.4196706e-16
5.1803520e-09 7.5639100e-16
5.2600497e-09 7.7056727e-16
5.3397474e-09 7.8461126e-16
5.4194452e-09 7.9864609e-16
5.4991429e-09 8.1279608e-16
5.5788406e-09 8.2718086e-16
5.6585383e-09 8.4191044e-16
5.7382360e-09 8.5708110e-16
5.8179338e-09 8.7277225e-16
5.8976315e-09 8.8904395e-16
5.9773292e-09 9.0593523e-16
6.0570269e-09 9.2346297e-16
6.1367247e-09 9.4162138e-16
6.2164224e-09 9.6038225e-16
6.2961201e-09 9.7969573e-16
6.3758178e-09 9.9949211e-16
6.4555156e-09 1.0196844e-15
6.5352133e-09 1.0401717e-15
6.6149110e-09 1.0608439e-15
6.6946087e-09 1.0815869e-15
6.7743064e-09 1.1022883e-15
6.8540042e-09 1.1228437e-15
6.9337019e-09 1.1431624e-15
7.0133996e-09 1.1631729e-15
7.0930973e-09 1.1828270e-15
7.1727951e-09 1.2021026e-15
7.2524928e-09 1.2210044e-15
7.3321905e-09 1.2395638e-15
7.4118882e-09 1.2578357e-15
7.4915859e-09 1.2758956e-15
7.5712837e-09 1.2938343e-15
7.6509814e-09 1.3117526e-15
7.7306791e-09 1.3297555e-15
7.8103768e-09 1.3479470e-15
7.8900746e-09 1.3664246e-15
7.9697723e-09 1.3852749e-15
8.0494700e-09 1.4045698e-15
8.1291677e-09 1.4243629e-15
8.2088655e-09 1.4446882e-15
8.2885632e-09 1.4655579e-15
8.3682609e-09 1.4869624e-15
8.4479586e-09 1.5088706e-15
8.5276563e-09 1.5312314e-15
8.6073541e-09 1.5539757e-15
8.6870518e-09 1.5770200e-15
8.7667495e-09 1.6002701e-15
8.8464472e-09 1.6236261e-15
8.9261450e-09 1.6469871e-15
9.0058427e-09 1.6702573e-15
9.0855404e-09 1.6933509e-15
9.1652381e-09 1.7161972e-15
9.2449359e-09 1.7387442e-15
9.3246336e-09 1.7609624e-15
9.4043313e-09 1.7828455e-15
9.4840290e-09 1.8044112e-15
9.5637267e-09 1.8256997e-15
9.6434245e-09 1.8467711e-15
9.7231222e-09 1.8677017e-15
9.8028199e-09 1.8885796e-15
9.8825176e-09 1.9094995e-15
9.9622154e-09 1.9305576e-15
1.0041913e-08 1.9518465e-15
1.0121611e-08 1.9734506e-15
1.0201309e-08 1.9954417e-15
1.0281006e-08 2.0178756e-15
1.0360704e-08 2.0407898e-15
1.0440402e-08 2.0642011e-15
1.0520099e-08 2.0881056e-15
1.0599797e-08 2.1124783e-15
1.0679495e-08 2.1372748e-15
1.0759193e-08 2.1624330e-15
1.0838890e-08 2.1878762e-15
1.0918588e-08 2.2135172e-15
1.0998286e-08 2.2392629e-15
1.1077983e-08 2.2650185e-15
1.1157681e-08 2.2906936e-15
1.1237379e-08 2.3162065e-15
1.1317077e-08 2.3414892e-15
1.1396774e-08 2.3664911e-15
1.1476472e-08 2.3911820e-15
1.1556170e-08 2.4155537e-15
1.1635868e-08 2.4396206e-15
1.1715565e-08 2.4634185e-15
1.1795263e-08 2.4870025e-15
1.1874961e-08 2.5104438e-15
1.1954658e-08 2.5338256e-15
1.2034356e-08 2.5572381e-15
1.2114054e-08 2.5807740e-15
1.2193752e-08 2.6045231e-15
1.2273449e-08 2.6285677e-15
1.2353147e-08 2.6529784e-15
1.2432845e-08 2.6778106e-15
1.2512542e-08 2.7031017e-15
1.2592240e-08 2.7288689e-15
1.2671938e-08 2.7551088e-15
1.2751636e-08 2.7817974e-15
1.2831333e-08 2.8088912e-15
1.2911031e-08 2.8363291e-15
1.2990729e-08 2.8640360e-15
1.3070427e-08 2.8919262e-15
1.3150124e-08 2.9199080e-15
1.3229822e-08 2.9478887e-15
1.3309520e-08 2.9757795e-15
1.3389217e-08 3.0035006e-15
1.3468915e-08 3.0309857e-15
1.3548613e-08 3.0581857e-15
1.3628311e-08 3.0850716e-15
1.3708008e-08 3.1116362e-15
1.3787706e-08 3.1378944e-15
1.3867404e-08 3.1638826e-15
1.3947101e-08 3.1896562e-15
1.4026799e-08 3.2152868e-15
1.4106497e-08 3.2408579e-15
1.4186195e-08 3.2664602e-15
1.4265892e-08 3.2921868e-15
1.4345590e-08 3.3181280e-15
1.4425288e-08 3.3443666e-15
1.4504986e-08 3.3709734e-15
1.4584683e-08 3.3980038e-15
1.4664381e-08 3.4254945e-15
1.4744079e-08 3.4534619e-15
1.4823776e-08 3.4819010e-15
1.4903474e-08 3.5107858e-15
1.4983172e-08 3.5400701e-15
1.5062870e-08 3.5696901e-15
1.5142567e-08 3.5995675e-15
1.5222265e-08 3.6296136e-15
1.5301963e-08 3.6597337e-15
1.5381661e-08 3.6898327e-15
1.5461358e-08 3.7198196e-15
1.5541056e-08 3.7496133e-15
1.5620754e-08 3.7791469e-15
1.5700451e-08 3.8083712e-15
1.5780149e-08 3.8372584e-15
1.5859847e-08 3.8658033e-15
1.5939545e-08 3.8940235e-15
1.6019242e-08 3.9219592e-15
1.6098940e-08 3.9496700e-15
1.6178638e-08 3.9772326e-15
1.6258335e-08 4.0047355e-15
1.6338033e-08 4.0322750e-15
1.6417731e-08 4.0599497e-15
1.6497429e-08 4.0878546e-15
1.6577126e-08 4.1160769e-15
1.6656824e-08 4.1446907e-15
1.6736522e-08 4.1737533e-15
1.6816220e-08 4.2033019e-15
1.6895917e-08 4.2333521e-15
1.6975615e-08 4.2638960e-15
1.7055313e-08 4.2949033e-15
1.7135010e-08 4.3263221e-15
1.7214708e-08 4.3580815e-15
1.7294406e-08 4.3900952e-15
1.7374104e-08 4.4222660e-15
1.7453801e-08 4.4544906e-15
1.7533499e-08 4.4866653e-15
1.7613197e-08 4.5186919e-15
1.7692894e-08 4.5504828e-15
1.7772592e-08 4.5819667e-15
1.7852290e-08 4.6130920e-15
1.7931988e-08 4.6438305e-15
1.8011685e-08 4.6741793e-15
1.8091383e-08 4.7041606e-15
1.8171081e-08 4.7338215e-15
1.8250779e-08 4.7632307e-15
1.8330476e-08 4.7924752e-15
1.8410174e-08 4.8216559e-15
1.8489872e-08 4.8508814e-15
1.8569569e-08 4.8802627e-15
1.8649267e-08 4.9099068e-15
1.8728965e-08 4.9399114e-15
1.8808663e-08 4.9703591e-15
1.8888360e-08 5.0013134e-15
1.8968058e-08 5.0328146e-15
1.9047756e-08 5.0648780e-15
1.9127453e-08 5.0974924e-15
1.9207151e-08 5.1306202e-15
1.9286849e-08 5.1641993e-15
1.9366547e-08 5.1981457e-15
1.9446244e-08 5.2323574e-15
1.9525942e-08 5.2667200e-15
1.9605640e-08 5.3011122e-15
1.9685338e-08 5.3354127e-15
1.9765035e-08 5.3695064e-15
1.9844733e-08 5.4032914e-15
1.9924431e-08 5.4366848e-15
2.0004128e-08 5.4696276e-15
2.0083826e-08 5.5020888e-15
2.0163524e-08 5.5340672e-15
2.0243222e-08 5.5655926e-15
2.0322919e-08 5.5967236e-15
2.0402617e-08 5.6275459e-15
2.0482315e-08 5.6581668e-15
2.0562012e-08 5.6887101e-15
2.0641710e-08 5.7193095e-15
2.0721408e-08 5.7501012e-15
2.0801106e-08 5.7812169e-15
2.0880803e-08 5.8127762e-15
2.0960501e-08 5.8448806e-15
2.1040199e-08 5.8776075e-15
2.1119897e-08 5.9110059e-15
2.1199594e-08 5.9450929e-15
2.1279292e-08 5.9798527e-15
2.1358990e-08 6.0152361e-15
2.1438687e-08 6.0511625e-15
2.1518385e-08 6.0875235e-15
2.1598083e-08 6.1241875e-15
2.1677781e-08 6.1610063e-15
2.1757478e-08 6.1978227e-15
2.1837176e-08 6.2344790e-15
2.1916874e-08 6.2708253e-15
2.1996572e-08 6.3067288e-15
